id,original_language,genres,country,vote_average
an+american+in+paris+1951,en,18,US,6.9
gestapos+last+orgy+1977,it,27,IT,5.3
arranged+2007,en,18,,6.0
twixt+2011,en,27,US,5.0
wyatt+earp+1994,en,18,US,6.5
all+quiet+on+the+western+front+1930,en,18,US,7.5
decision+at+sundown+1957,en,10749,US,7.0
david+and+bathsheba+1951,en,18,US,4.7
the+man+from+nowhere+2010,ko,28,KR,7.6
the+letter+2012,en,18,US,3.8
food+of+the+gods+ii+1989,en,27,CA,5.8
the+rage+in+placid+lake+2003,en,10751,AU,6.7
cold+around+the+heart+1997,en,80,US,4.5
the+inevitable+defeat+of+mister++pete+2013,en,18,US,7.4
kiras+reason+a+love+story+2001,da,18,DK,4.9
whipped+2000,en,35,US,3.1
santas+pocket+watch+1980,en,,,0.0
wild+river+1960,en,36,US,6.5
the+wages+of+fear+1953,fr,18,FR,7.9
the+doll+1968,en,18,,5.5
ito+diary+of+an+urban+priest+2010,en,99,JP,0.0
madame+bovary+1991,fr,18,FR,6.6
cinderella+ii+dreams+come+true+2002,en,10751,JP,5.5
sherlock+holmes+faces+death+1943,en,18,,7.2
el+amor+brujo+1986,es,,ES,7.0
on+tour+2010,fr,18,DE,6.4
three+colors+red+1994,fr,18,FR,7.8
army+1944,ja,18,JP,7.5
whats+in+a+name+2012,fr,18,FR,7.2
swimfan+2002,en,18,US,5.0
conan+the+barbarian+2011,en,12,US,5.2
hairspray+1988,en,35,US,6.6
journey+to+the+beginning+of+time+1955,cs,12,CZ,8.0
the+river+1984,en,18,US,6.5
journey+to+italy+1954,it,10749,IT,7.3
murder+by+contract+1958,en,18,US,6.3
the+good+humor+man+2008,en,35,US,7.0
brubaker+1980,en,80,US,7.1
before+i+self+destruct+2009,en,28,US,4.7
arsne+lupin+1932,en,9648,US,7.7
beat+the+devil+1953,en,28,US,6.2
point+blank+1967,en,28,US,7.1
the+bounty+hunter+2010,en,28,US,5.6
live+and+let+die+1973,en,12,GB,6.4
forgiving+dr.+mengele+2006,en,99,,7.0
cheerleader+camp+1988,en,27,JP,5.2
asphalt+1929,de,18,DE,8.3
playing+it+cool+2014,en,35,US,5.6
a+huey+p.+newton+story+2001,en,99,US,0.0
scent+of+a+woman+1992,en,18,US,7.3
masterminds+1997,en,35,US,4.1
boy+upside+down+2014,fi,35,FI,7.0
america+america+1963,en,18,US,5.8
a+city+of+sadness+1989,zh,18,HK,7.5
